id,title,authors,published_date,query,collected_at
1,Self Care,"[""Leigh Stein""]",2020-06-30,booktok,2025-05-28T10:39:16.953335
2,Brood,"[""Jackie Polzin""]",2021-03-09,booktok,2025-05-28T10:39:16.953335
3,We Were Liars,"[""E. Lockhart""]",2014-05-13,booktok,2025-05-28T10:39:16.953335
4,"Social Reading Cultures on BookTube, Bookstagram, and BookTok","[""Bronwyn Reddan"", ""Leonie Rutherford"", ""Amy Schoonens"", ""Michael Dezuanni""]",2024-04-30,booktok,2025-05-28T10:39:16.953335
5,# BookTok Journal for 25 Books,"[""BookTok BookTok Press""]",2021-10-22,booktok,2025-05-28T10:39:16.953335
6,The Reading Lives of Teens,"[""Chin Ee Loh""]",2024-11-04,booktok,2025-05-28T10:39:16.953335
7,#BookTok Journal,"[""Gold ATOM""]",2021-11-24,booktok,2025-05-28T10:39:16.953335
8,Atravesados,"[""Trevor Boffone"", ""Cristina Herrera""]",2025-02-17,booktok,2025-05-28T10:39:16.953335
9,Living Rent Free In My Head,"[""Dominique Davis""]",2022-08-02,booktok,2025-05-28T10:39:16.953335
10,BookTok Journal for 200 Books,"[""Magizh Publications""]",2021-11-23,booktok,2025-05-28T10:39:16.953335
11,The Bestseller Code,"[""Jodie Archer"", ""Matthew L. Jockers""]",2016-09-20,bestseller,2025-05-28T10:39:19.487221
12,The Making of a Bestseller,"[""Arthur T. Vanderbilt""]",1999-01-01,bestseller,2025-05-28T10:39:19.487221
13,An All-in-One Guide to Become a Bestseller,"[""Ukiyoto""]",2023-05-05,bestseller,2025-05-28T10:39:19.487221
14,Bestsellers,"[""C. Bloom""]",2008-09-29,bestseller,2025-05-28T10:39:19.487221
15,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,bestseller,2025-05-28T10:39:19.487221
16,Bestsellers (Routledge Revivals),"[""John Sutherland""]",2010-10-04,bestseller,2025-05-28T10:39:19.487221
17,The Bestseller,"[""Olivia Goldsmith""]",1997-06-14,bestseller,2025-05-28T10:39:19.487221
